id,email,country,signup_at
11111111-1111-4111-8111-000000000001,alice@example.com,US,2026-01-12T09:14:00Z
11111111-1111-4111-8111-000000000002,bob@example.com,UK,2026-01-13T10:01:00Z
11111111-1111-4111-8111-000000000003,carol@example.com,FR,2026-01-13T18:42:00Z
11111111-1111-4111-8111-000000000004,david@example.com,DE,2026-01-14T08:30:00Z
11111111-1111-4111-8111-000000000005,,US,2026-01-14T11:11:00Z
11111111-1111-4111-8111-000000000006,frank@example.com,IT,2026-01-15T13:25:00Z
11111111-1111-4111-8111-000000000007,grace@example.com,ES,2026-01-15T17:00:00Z
11111111-1111-4111-8111-000000000008,heidi@example.com,US,2026-01-16T09:00:00Z
11111111-1111-4111-8111-000000000009,ivan@example.com,UK,2026-01-16T10:30:00Z
11111111-1111-4111-8111-000000000010,,FR,2026-01-17T12:00:00Z
11111111-1111-4111-8111-000000000011,kate@example.com,DE,2026-01-17T14:20:00Z
11111111-1111-4111-8111-000000000012,leo@example.com,IT,2026-01-18T08:00:00Z
11111111-1111-4111-8111-000000000013,mona@example.com,ES,2026-01-18T16:15:00Z
11111111-1111-4111-8111-000000000014,nick@example.com,US,2026-01-19T09:45:00Z
11111111-1111-4111-8111-000000000015,olivia@example.com,UK,2026-01-19T11:30:00Z
11111111-1111-4111-8111-000000000016,peter@example.com,FR,2026-01-20T13:05:00Z
11111111-1111-4111-8111-000000000017,quinn@example.com,DE,2026-01-20T15:50:00Z
11111111-1111-4111-8111-000000000018,rachel@example.com,IT,2026-01-21T08:25:00Z
11111111-1111-4111-8111-000000000019,sam@example.com,ES,2026-01-21T17:40:00Z
11111111-1111-4111-8111-000000000020,,US,2026-01-22T09:10:00Z
11111111-1111-4111-8111-000000000021,uma@example.com,UK,2026-01-22T11:55:00Z
11111111-1111-4111-8111-000000000022,victor@example.com,FR,2026-01-23T14:30:00Z
11111111-1111-4111-8111-000000000023,wendy@example.com,DE,2026-01-23T16:00:00Z
11111111-1111-4111-8111-000000000024,xavier@example.com,IT,2026-01-24T08:50:00Z
11111111-1111-4111-8111-000000000025,yara@example.com,ES,2026-01-24T13:20:00Z
11111111-1111-4111-8111-000000000026,zach@example.com,US,2026-01-25T09:30:00Z
11111111-1111-4111-8111-000000000027,amy@example.com,XX,2026-01-25T15:15:00Z
11111111-1111-4111-8111-000000000028,brian@example.com,UK,2026-01-26T10:40:00Z
11111111-1111-4111-8111-000000000029,clara@example.com,FR,2026-01-26T12:00:00Z
11111111-1111-4111-8111-000000000001,eve@example.com,US,2026-01-27T11:00:00Z
