customer_id,first_name,last_name,email,city,signup_at,is_active
1,First001,Last001,customer001@example.com,Paris,2024-10-24T00:00:00+00:00,True
2,First002,Last002,customer002@example.com,Vienna,2024-04-30T00:00:00+00:00,True
3,First003,Last003,customer003@example.com,Lisbon,2025-01-24T00:00:00+00:00,True
4,First004,Last004,customer004@example.com,Amsterdam,2024-01-14T00:00:00+00:00,True
5,First005,Last005,customer005@example.com,Amsterdam,2025-02-07T00:00:00+00:00,True
6,First006,Last006,customer006@example.com,Berlin,2024-09-11T00:00:00+00:00,True
7,First007,Last007,customer007@example.com,Paris,2025-01-30T00:00:00+00:00,False
8,First008,Last008,customer008@example.com,Rome,2024-04-27T00:00:00+00:00,True
9,First009,Last009,customer009@example.com,Vienna,2024-12-25T00:00:00+00:00,True
10,First010,Last010,customer010@example.com,Rome,2025-10-28T00:00:00+00:00,True
11,First011,Last011,,Paris,2024-07-05T00:00:00+00:00,True
12,First012,Last012,customer012@example.com,Vienna,2025-07-20T00:00:00+00:00,True
13,First013,Last013,customer013@example.com,Berlin,2025-03-05T00:00:00+00:00,True
14,First014,Last014,customer014@example.com,Rome,2024-06-15T00:00:00+00:00,False
15,First015,Last015,customer015@example.com,Paris,2024-08-28T00:00:00+00:00,True
16,First016,Last016,customer016@example.com,Lisbon,2025-01-06T00:00:00+00:00,True
17,First017,Last017,customer017@example.com,Berlin,2025-04-22T00:00:00+00:00,True
18,First018,Last018,customer018@example.com,Berlin,2025-08-05T00:00:00+00:00,True
19,First019,Last019,customer019@example.com,Amsterdam,2025-07-14T00:00:00+00:00,True
20,First020,Last020,customer020@example.com,Berlin,2025-07-29T00:00:00+00:00,True
21,First021,Last021,customer021@example.com,Madrid,2024-05-10T00:00:00+00:00,False
22,First022,Last022,,Paris,2024-01-31T00:00:00+00:00,True
23,First023,Last023,customer023@example.com,Lisbon,2024-11-16T00:00:00+00:00,True
24,First024,Last024,customer024@example.com,Madrid,2024-05-19T00:00:00+00:00,True
25,First025,Last025,customer025@example.com,Lisbon,2024-07-17T00:00:00+00:00,True
26,First026,Last026,customer026@example.com,Madrid,2025-10-19T00:00:00+00:00,True
27,First027,Last027,customer027@example.com,Paris,2025-08-14T00:00:00+00:00,True
28,First028,Last028,customer028@example.com,Rome,2025-06-28T00:00:00+00:00,False
29,First029,Last029,customer029@example.com,Lisbon,2025-11-09T00:00:00+00:00,True
30,First030,Last030,customer030@example.com,Berlin,2024-12-15T00:00:00+00:00,True
31,First031,Last031,customer031@example.com,Berlin,2024-05-03T00:00:00+00:00,True
32,First032,Last032,customer032@example.com,Lisbon,2024-12-14T00:00:00+00:00,True
33,First033,Last033,,Paris,2025-01-05T00:00:00+00:00,True
34,First034,Last034,customer034@example.com,Rome,2024-06-06T00:00:00+00:00,True
35,First035,Last035,customer035@example.com,Vienna,2024-01-14T00:00:00+00:00,False
36,First036,Last036,customer036@example.com,Paris,2024-07-23T00:00:00+00:00,True
37,First037,Last037,customer037@example.com,Amsterdam,2025-08-27T00:00:00+00:00,True
38,First038,Last038,customer038@example.com,Madrid,2024-11-02T00:00:00+00:00,True
39,First039,Last039,customer039@example.com,Vienna,2025-09-14T00:00:00+00:00,True
40,First040,Last040,customer040@example.com,Vienna,2024-07-15T00:00:00+00:00,True
41,First041,Last041,customer041@example.com,Paris,2025-03-20T00:00:00+00:00,True
42,First042,Last042,customer042@example.com,Lisbon,2025-02-06T00:00:00+00:00,False
43,First043,Last043,customer043@example.com,Lisbon,2025-03-30T00:00:00+00:00,True
44,First044,Last044,,Vienna,2024-12-12T00:00:00+00:00,True
45,First045,Last045,customer045@example.com,Amsterdam,2024-10-06T00:00:00+00:00,True
46,First046,Last046,customer046@example.com,Paris,2025-02-14T00:00:00+00:00,True
47,First047,Last047,customer047@example.com,Lisbon,2024-03-16T00:00:00+00:00,True
48,First048,Last048,customer048@example.com,Lisbon,2024-05-28T00:00:00+00:00,True
49,First049,Last049,customer049@example.com,Paris,2024-12-15T00:00:00+00:00,False
50,First050,Last050,customer050@example.com,Lisbon,2024-04-21T00:00:00+00:00,True
